class_name,drug_name,severity,risk_note
NSAIDs (Non-Steroidal Anti-Inflammatory),ibuprofen,HIGH,Concurrent use of multiple NSAIDs markedly increases gastrointestinal ulceration and bleeding risk without added analgesic efficacy.
NSAIDs (Non-Steroidal Anti-Inflammatory),diclofenac,HIGH,Concurrent use of multiple NSAIDs markedly increases gastrointestinal ulceration and bleeding risk without added analgesic efficacy.
NSAIDs (Non-Steroidal Anti-Inflammatory),naproxen,HIGH,Concurrent use of multiple NSAIDs markedly increases gastrointestinal ulceration and bleeding risk without added analgesic efficacy.
NSAIDs (Non-Steroidal Anti-Inflammatory),aspirin,HIGH,Concurrent use of multiple NSAIDs markedly increases gastrointestinal ulceration and bleeding risk without added analgesic efficacy.
NSAIDs (Non-Steroidal Anti-Inflammatory),mefenamic acid,HIGH,Concurrent use of multiple NSAIDs markedly increases gastrointestinal ulceration and bleeding risk without added analgesic efficacy.
NSAIDs (Non-Steroidal Anti-Inflammatory),etoricoxib,HIGH,Concurrent use of multiple NSAIDs markedly increases gastrointestinal ulceration and bleeding risk without added analgesic efficacy.
NSAIDs (Non-Steroidal Anti-Inflammatory),celecoxib,HIGH,Concurrent use of multiple NSAIDs markedly increases gastrointestinal ulceration and bleeding risk without added analgesic efficacy.
NSAIDs (Non-Steroidal Anti-Inflammatory),ketoprofen,HIGH,Concurrent use of multiple NSAIDs markedly increases gastrointestinal ulceration and bleeding risk without added analgesic efficacy.
Proton Pump Inhibitors (PPIs),omeprazole,MEDIUM,Multiple concurrent PPIs provide no additional acid suppression benefit and increase risk of adverse events.
Proton Pump Inhibitors (PPIs),pantoprazole,MEDIUM,Multiple concurrent PPIs provide no additional acid suppression benefit and increase risk of adverse events.
Proton Pump Inhibitors (PPIs),esomeprazole,MEDIUM,Multiple concurrent PPIs provide no additional acid suppression benefit and increase risk of adverse events.
Proton Pump Inhibitors (PPIs),rabeprazole,MEDIUM,Multiple concurrent PPIs provide no additional acid suppression benefit and increase risk of adverse events.
Proton Pump Inhibitors (PPIs),lansoprazole,MEDIUM,Multiple concurrent PPIs provide no additional acid suppression benefit and increase risk of adverse events.
ACE Inhibitors / ARBs,lisinopril,HIGH,Dual renin-angiotensin-aldosterone blockade markedly elevates risks of severe hypotension hyperkalemia and acute renal impairment.
ACE Inhibitors / ARBs,enalapril,HIGH,Dual renin-angiotensin-aldosterone blockade markedly elevates risks of severe hypotension hyperkalemia and acute renal impairment.
ACE Inhibitors / ARBs,ramipril,HIGH,Dual renin-angiotensin-aldosterone blockade markedly elevates risks of severe hypotension hyperkalemia and acute renal impairment.
ACE Inhibitors / ARBs,losartan,HIGH,Dual renin-angiotensin-aldosterone blockade markedly elevates risks of severe hypotension hyperkalemia and acute renal impairment.
ACE Inhibitors / ARBs,valsartan,HIGH,Dual renin-angiotensin-aldosterone blockade markedly elevates risks of severe hypotension hyperkalemia and acute renal impairment.
ACE Inhibitors / ARBs,telmisartan,HIGH,Dual renin-angiotensin-aldosterone blockade markedly elevates risks of severe hypotension hyperkalemia and acute renal impairment.
