name,aliases
Amoxicillin,"Amoxil,Trimox,Moxatag,Novamox"
Augmentin,"Amoxicillin Clavulanate,Clavam,Curam,Augmentin Duo"
Paracetamol,"Acetaminophen,Tylenol,Panadol,Calpol,Dolo 650,Crocin"
Ibuprofen,"Advil,Nurofen,Brufen,Motrin"
Metformin,"Glucophage,Fortamet,Glycomet,Riomet"
Atorvastatin,"Lipitor,Torvast,Atorva,Storvas"
Omeprazole,"Prilosec,Losec,Omez,Zegerid"
Amlodipine,"Norvasc,Istin,Amlong,Stamlo"
Lisinopril,"Zestril,Prinivil,Listril"
Azithromycin,"Zithromax,Z-Pack,Azithral,Azee"
Cetirizine,"Zyrtec,Reactine,Cetzine,Alerid"
Ciprofloxacin,"Cipro,Ciproxin,Cifran,Ciplox"
Doxycycline,"Vibramycin,Doryx,Doxicip"
Metronidazole,"Flagyl,Metrogyl,MetroGel"
Prednisolone,"Prelone,Orapred,Wysolone,Deltacortril"
Salbutamol,"Albuterol,Ventolin,Asthalin,ProAir"
Aspirin,"Disprin,Ecosprin,Bayer Aspirin,Bufferin"
Clopidogrel,"Plavix,Deplatt,Clopilet,Ceruvin"
Losartan,"Cozaar,Hyzaar,Losar,Repace"
Pantoprazole,"Protonix,Pantoloc,Pantocid,Pan 40"
Diclofenac,"Voltaren,Cataflam,Voveran,Cambia"
Warfarin,"Coumadin,Jantoven,Marevan"
Clarithromycin,"Biaxin,Klacid"
Simvastatin,"Zocor"
Theophylline,"Uniphyl,Theo-24"
Fluoxetine,"Prozac,Sarafem"
Sertraline,"Zoloft,Lustral"
Tramadol,"Ultram,Tramal"
Naproxen,"Aleve,Naprosyn"
Rosuvastatin,"Crestor,Rozavel"
Levofloxacin,"Levaquin,Loxof"
Metoprolol,"Lopressor,Toprol,Betaloc"
Bisoprolol,"Concor,Zebeta"
Atenolol,"Tenormin,Aten"
Carvedilol,"Coreg,Carca"
Gabapentin,"Neurontin,Gabapin"
Hydrochlorothiazide,"Microzide,Esidrix,Aquazide"
Montelukast,"Singulair,Montair"
Escitalopram,"Lexapro,Cipralex,Nexito"
Furosemide,"Lasix,Frusid"
Alprazolam,"Xanax,Alprax,Restyl"
Loratadine,"Claritin,Alavert"
Ranitidine,"Zantac,Rantac"
Dexamethasone,"Decadron,Dexona"
Levocetirizine,"Xyzal,Vozet"
Ondansetron,"Zofran,Emeset"
Esomeprazole,"Nexium,Esomac"
Rabeprazole,"Aciphex,Rablet"
Telmisartan,"Micardis,Telma"
Multivitamin,"Becosules,Supradyn,Multivitamin"
